Engine_Size,Horsepower,Weight,Age,Mileage,Price
2.49816047538945,372,1575,7,47215,94642.51120312382
4.802857225639665,81,878,9,28185,81357.4906798751
3.9279757672456204,387,1655,8,179514,87732.37203510672
3.3946339367881464,149,2239,8,187831,52755.166834587355
1.624074561769746,285,2934,13,46153,54476.59505634246
1.6239780813448106,333,2948,6,82535,79671.2616587156
1.2323344486727978,218,1831,11,138653,48670.08263836971
4.46470458309974,150,1644,4,56717,85040.92314102303
3.404460046972835,284,886,8,7763,94553.51219585026
3.832290311184182,267,2890,3,97910,82337.17242088525
1.0823379771832098,269,1207,13,60480,68386.65141219583
4.879639408647977,94,2468,9,174831,62545.76854327747
4.329770563201687,158,947,13,123094,69713.59715450324
1.8493564427131046,337,1031,2,161379,78643.249435952
1.7272998688284025,212,2750,2,16064,65413.616492346
1.7336180394137353,128,1165,12,81848,47311.566657281044
2.216968971838151,95,2474,13,42548,40361.95280684606
3.0990257265289514,116,1235,12,173017,45358.62408449885
2.727780074568463,357,1198,7,184009,81596.73049868993
2.1649165607921677,335,2034,12,11476,77349.11234495789
3.447411578889518,85,2214,10,187828,47391.979733417495
1.5579754426081673,268,1362,4,95101,71686.12618399403
2.1685785941408726,351,2084,10,7382,78420.06527982683
2.465447373174767,155,1572,8,185755,48738.574555441905
2.8242799368681437,319,2837,9,181348,74746.2631410761
4.140703845572054,339,2143,7,169474,82773.92233276772
1.798695128633439,186,2985,5,163018,53059.03252052386
3.0569377536544464,76,2373,8,84698,55532.39367810756
3.36965827544817,206,1791,4,158407,73443.32882440701
1.185801650879991,245,2046,2,50095,80487.95849906582
3.4301794076057535,397,1159,11,134974,94497.11022598454
1.6820964947491661,384,1720,12,32197,89575.5271995166
1.260206371941118,284,1762,6,132619,62486.81096595458
4.7955421490133325,151,2627,9,27010,74518.81014263956
4.862528132298237,292,2413,1,160195,100197.31085178597
4.233589392465845,172,2440,11,92923,67067.54695313075
2.2184550766934827,342,1016,10,138962,86019.00773800795
1.3906884560255355,83,1177,12,135526,38066.929566358966
3.7369321060486276,228,918,7,114162,77809.62574910543
2.760609974958405,221,989,10,125927,59901.63775694711
1.4881529393791153,177,1169,9,13026,62366.950553316594
2.9807076404450807,257,2601,10,69925,70641.04547589448
1.1375540844608736,370,2996,9,73842,70681.90229222892
4.637281608315128,167,1451,10,38665,87843.50573530052
2.0351199264000677,200,2682,11,14277,64624.36593117018
3.650089137415928,362,2311,13,178311,74426.32793764526
2.246844304357644,240,1569,3,183736,63261.77742583904
3.0802720847112433,252,1580,11,53008,70070.93100264459
3.1868411173731186,108,2516,13,19683,51116.080412378054
1.7394178221021082,84,2111,5,136742,43167.324836621774
4.878338511058234,73,2049,8,153961,64750.13878329171
4.100531293444458,279,1322,8,191684,78334.69236307577
4.757995766256757,230,1321,4,180607,90012.36598562064
4.579309401710596,85,1582,12,83542,66051.31594298003
3.3915999152443406,177,1735,11,59319,69168.99873493417
4.687496940092467,380,2488,11,97067,90751.50053567626
1.353970008207678,296,1287,1,157711,78139.0136918412
1.7839314496765808,239,2650,1,152705,76391.39974124626
1.1809091556421523,103,1645,4,170732,45153.19737970174
2.3013213230530574,320,2971,6,73975,62272.1950811681
2.554709158757928,316,2803,8,168244,75087.55113029793
2.0853961270955836,338,2548,6,195269,66367.91013326774
4.314950036607717,210,1485,12,106158,87130.52374534021
2.427013306774357,343,2960,9,194919,67264.40371102466
2.123738038749523,165,2969,9,16577,48695.240840067054
3.170784332632994,296,2367,14,82299,61143.86721127018
1.5636968998990506,108,2045,2,25176,67929.1990125718
4.208787923016159,371,838,10,180458,100093.18831371564
1.2982025747190833,98,1579,1,68972,68362.95502658612
